text,emotion,hr,hrv,eda
The person is speaking in a composed tone suggesting neutral,neutral,70.1,77.1,1.28
The speaker's voice carries evident signs of being frightened,fear,88.5,44.3,7.01
The person is speaking in a dejected tone suggesting sadness,sadness,63.4,48.8,1.59
Prosodic analysis of a reflective statement reveals typical fear,fear,94.5,44.7,6.36
Audio segment classified as excitement based on thrilled vocal characteristics,excitement,109.1,40.5,6.8
Emotional tone: furious. Intensity level: noticeable. Classification: anger,anger,93.9,35.6,5.36
The person is speaking in a disdainful tone suggesting contempt,contempt,85.5,47.4,3.57
Acoustic features suggest the person feels happy while delivering a spoken utterance,joy,88.4,79.5,2.29
Prosodic analysis of an emotional statement reveals pronounced fear,fear,84.3,43.1,8.61
The speaker's voice carries standard signs of being matter-of-fact,neutral,63.1,62.9,1.55
Speech emotion detection: impassive voice pattern with normal arousal,neutral,73.6,66.4,1.98
Acoustic features suggest the person feels delighted while delivering a spoken utterance,joy,70.9,70.1,2.89
The speaker sounds livid,anger,100.2,39.3,7.02
Audio segment classified as joy based on delighted vocal characteristics,joy,79.5,75.4,2.37
Voice frustration indicator — the speaker sounds vexed with clear expression,frustration,81.2,32.1,4.46
"Audio emotional state: grief, detected from speech prosody",grief,55.7,34.4,1.62
The person is speaking in a cheerful tone suggesting joy,joy,72.8,67.5,3.45
Audio segment classified as joy based on cheerful vocal characteristics,joy,87.4,78.7,2.57
Speech emotion detection: derisive voice pattern with moderate arousal,contempt,85.3,33.5,4.03
The person is speaking in a irritated tone suggesting anger,anger,109.0,24.9,6.29
Speech emotion detection: revolted voice pattern with strong arousal,disgust,84.4,48.0,6.81
Speech emotion detection: pleased voice pattern with standard arousal,joy,81.0,52.8,2.65
Voice contempt indicator — the speaker sounds dismissive with moderate expression,contempt,87.9,49.3,3.02
Audio segment classified as disgust based on revolted vocal characteristics,disgust,77.4,44.0,5.71
Acoustic features suggest the person feels frightened while delivering a descriptive statement,fear,93.6,41.0,9.66
The speaker's voice carries clear signs of being uneasy,anxiety,85.9,39.7,5.33
Emotional tone: furious. Intensity level: distinct. Classification: anger,anger,101.2,30.8,7.94
The speaker's voice carries standard signs of being repulsed,disgust,78.4,44.6,6.78
"The vocal expression conveys fear, the tone is panicked",fear,102.4,34.2,8.4
The speaker sounds gloomy,sadness,56.2,45.8,1.94
The person is speaking in a frightened tone suggesting fear,fear,80.4,36.1,7.55
The speaker's voice carries typical signs of being downcast,sadness,68.3,43.3,1.2
Prosodic analysis of a workplace statement reveals moderate joy,joy,88.8,55.6,2.35
Speech emotion detection: exhilarated voice pattern with moderate arousal,excitement,102.0,53.6,5.18
Prosodic analysis of a transactional statement reveals moderate disgust,disgust,73.9,37.7,5.94
Audio segment classified as joy based on delighted vocal characteristics,joy,70.7,63.0,3.62
Speech emotion detection: serene voice pattern with moderate arousal,calm,63.1,82.9,1.26
Speech emotion detection: scared voice pattern with distinct arousal,fear,101.5,30.1,6.91
The speaker's voice carries noticeable signs of being sickened,disgust,79.6,40.8,4.3
Voice fear indicator — the speaker sounds panicked with moderate expression,fear,96.3,37.9,6.24
Voice analysis indicates fear with standard intensity,fear,90.2,25.3,8.68
The speaker sounds frustrated,frustration,90.2,25.4,5.42
Voice disgust indicator — the speaker sounds sickened with standard expression,disgust,74.4,45.2,4.86
The speaker sounds sorrowful,sadness,69.9,57.3,1.13
Prosodic analysis of a spoken utterance reveals evident calm,calm,60.2,63.3,1.44
Speech emotion detection: sickened voice pattern with standard arousal,disgust,80.1,46.9,6.02
The speaker sounds revolted,disgust,73.9,50.9,6.06
The speaker's voice carries standard signs of being elated,joy,76.9,51.4,3.65
Voice analysis indicates contempt with distinct intensity,contempt,82.3,43.8,4.87
The person is speaking in a downcast tone suggesting sadness,sadness,55.2,52.4,1.63
Voice calm indicator — the speaker sounds serene with normal expression,calm,71.1,67.0,1.36
The person is speaking in a downcast tone suggesting sadness,sadness,59.6,42.5,1.38
The person is speaking in a alarmed tone suggesting fear,fear,100.7,39.0,7.01
Emotional tone: incensed. Intensity level: moderate. Classification: anger,anger,101.2,23.7,6.18
Emotional tone: fearful. Intensity level: normal. Classification: fear,fear,97.5,39.4,6.98
"Audio emotional state: fear, detected from speech prosody",fear,103.8,43.4,8.03
The person is speaking in a composed tone suggesting neutral,neutral,67.5,66.4,1.6
Voice analysis indicates anxiety with clear intensity,anxiety,99.8,22.4,8.06
The person is speaking in a sickened tone suggesting disgust,disgust,81.2,53.5,5.98
Voice disgust indicator — the speaker sounds appalled with standard expression,disgust,78.7,50.8,5.44
Speech emotion detection: melancholy voice pattern with normal arousal,sadness,58.8,54.3,1.08
Acoustic features suggest the person feels matter-of-fact while delivering a spoken utterance,neutral,69.9,64.6,1.31
Emotional tone: peaceful. Intensity level: standard. Classification: calm,calm,64.6,60.3,1.57
Emotional tone: downcast. Intensity level: typical. Classification: sadness,sadness,63.5,54.1,1.28
"Audio emotional state: grief, detected from speech prosody",grief,57.4,43.5,2.56
The speaker's voice carries moderate signs of being dejected,sadness,55.1,46.5,1.7
Emotional tone: revolted. Intensity level: moderate. Classification: disgust,disgust,87.6,47.3,6.99
The speaker sounds annoyed,frustration,99.3,43.3,5.37
Emotional tone: delighted. Intensity level: typical. Classification: joy,joy,80.9,65.3,3.18
"Audio emotional state: sadness, detected from speech prosody",sadness,67.4,54.5,1.98
Speech emotion detection: enraged voice pattern with normal arousal,anger,107.1,21.8,7.45
Speech emotion detection: irate voice pattern with clear arousal,anger,106.0,35.9,6.24
"The vocal expression conveys anger, the tone is angry",anger,87.6,29.3,5.8
Prosodic analysis of a spoken utterance reveals moderate sadness,sadness,61.9,51.0,1.1
The person is speaking in a joyful tone suggesting joy,joy,75.4,61.7,3.67
Speech emotion detection: panicked voice pattern with standard arousal,fear,81.9,43.8,6.38
Acoustic features suggest the person feels matter-of-fact while delivering a social interaction phrase,neutral,64.7,63.9,1.97
Emotional tone: disdainful. Intensity level: clear. Classification: contempt,contempt,79.7,41.3,4.36
The speaker sounds worried,anxiety,93.8,33.5,8.38
Emotional tone: neutral. Intensity level: normal. Classification: neutral,neutral,61.7,62.1,1.24
Voice analysis indicates calm with evident intensity,calm,70.2,77.1,1.39
Acoustic features suggest the person feels sad while delivering a spoken utterance,sadness,69.7,48.4,1.96
Audio segment classified as fear based on fearful vocal characteristics,fear,104.4,41.4,6.83
The person is speaking in a contemptuous tone suggesting contempt,contempt,87.3,36.5,4.64
Acoustic features suggest the person feels disgusted while delivering a motivational sentence,disgust,75.2,51.9,5.43
Voice analysis indicates anger with moderate intensity,anger,89.0,24.6,5.95
Emotional tone: pleased. Intensity level: standard. Classification: joy,joy,74.4,73.8,3.34
Prosodic analysis of a spoken utterance reveals moderate anger,anger,100.8,39.9,7.03
The person is speaking in a neutral tone suggesting neutral,neutral,74.3,73.3,1.58
Voice neutral indicator — the speaker sounds even-toned with normal expression,neutral,67.8,68.6,1.02
The speaker sounds revolted,disgust,80.4,40.8,6.2
Voice neutral indicator — the speaker sounds neutral with standard expression,neutral,73.4,74.8,1.38
Speech emotion detection: gloomy voice pattern with evident arousal,sadness,57.4,55.7,1.94
Audio segment classified as excitement based on ecstatic vocal characteristics,excitement,86.3,47.2,5.86
"Audio emotional state: anger, detected from speech prosody",anger,101.0,38.6,6.27
"The vocal expression conveys sadness, the tone is sorrowful",sadness,63.6,40.8,1.92
Emotional tone: gloomy. Intensity level: typical. Classification: sadness,sadness,59.9,52.2,1.05
Prosodic analysis of a spoken utterance reveals evident disgust,disgust,81.5,46.4,5.56
"The vocal expression conveys surprise, the tone is startled",surprise,87.7,45.2,4.47
"Audio emotional state: surprise, detected from speech prosody",surprise,92.0,54.9,4.01
Prosodic analysis of a motivational sentence reveals typical disgust,disgust,74.4,53.5,4.54
Emotional tone: angry. Intensity level: evident. Classification: anger,anger,106.2,21.1,5.02
Speech emotion detection: dismissive voice pattern with moderate arousal,contempt,84.1,43.8,3.82
Speech emotion detection: surprised voice pattern with moderate arousal,surprise,89.2,37.1,5.95
Audio segment classified as joy based on cheerful vocal characteristics,joy,81.9,57.1,3.64
Voice analysis indicates excitement with normal intensity,excitement,103.5,41.0,5.74
The speaker's voice carries normal signs of being neutral,neutral,71.3,78.4,1.01
Voice fear indicator — the speaker sounds frightened with moderate expression,fear,95.0,32.0,9.84
The person is speaking in a irate tone suggesting anger,anger,101.3,31.4,5.76
Audio segment classified as disgust based on revolted vocal characteristics,disgust,70.9,50.1,4.52
Speech emotion detection: gloomy voice pattern with mild arousal,sadness,69.6,56.7,1.44
"The vocal expression conveys surprise, the tone is surprised",surprise,76.7,35.1,4.02
The person is speaking in a incensed tone suggesting anger,anger,103.3,22.7,6.32
The speaker sounds exhilarated,excitement,101.7,53.9,5.65
Acoustic features suggest the person feels apprehensive while delivering a thoughtful expression,anxiety,90.2,33.0,5.53
The person is speaking in a even-toned tone suggesting neutral,neutral,74.5,63.7,1.69
Prosodic analysis of a spoken phrase reveals normal sadness,sadness,56.5,48.2,1.82
The person is speaking in a frightened tone suggesting fear,fear,104.9,27.8,7.97
Emotional tone: revolted. Intensity level: moderate. Classification: disgust,disgust,81.0,42.9,6.7
Prosodic analysis of an emotional statement reveals intense grief,grief,63.8,48.7,1.66
Voice contempt indicator — the speaker sounds derisive with moderate expression,contempt,84.4,34.9,4.17
Prosodic analysis of a spoken utterance reveals evident surprise,surprise,94.1,47.9,3.43
Audio segment classified as frustration based on agitated vocal characteristics,frustration,99.3,38.8,4.59
"Audio emotional state: fear, detected from speech prosody",fear,84.7,34.2,7.46
Prosodic analysis of a spoken utterance reveals noticeable fear,fear,100.5,42.7,8.04
Prosodic analysis of a spoken utterance reveals evident joy,joy,72.3,76.9,2.99
"Audio emotional state: joy, detected from speech prosody",joy,89.4,60.9,3.59
Acoustic features suggest the person feels neutral while delivering a workplace statement,neutral,69.9,79.5,1.8
Voice analysis indicates fear with typical intensity,fear,104.3,32.6,8.77
Acoustic features suggest the person feels sickened while delivering a spoken utterance,disgust,70.3,48.3,5.25
The speaker sounds ecstatic,excitement,92.2,47.1,5.57
Emotional tone: joyful. Intensity level: distinct. Classification: joy,joy,71.4,74.6,3.53
"The vocal expression conveys disgust, the tone is sickened",disgust,85.3,37.3,5.0
The person is speaking in a elated tone suggesting joy,joy,87.7,74.9,2.45
The speaker sounds irritated,anger,99.4,27.0,7.79
Audio segment classified as sadness based on sad vocal characteristics,sadness,62.4,59.7,1.3
The person is speaking in a even-toned tone suggesting neutral,neutral,62.6,75.3,1.38
Acoustic features suggest the person feels stunned while delivering a spoken utterance,surprise,92.3,37.3,3.39
Audio segment classified as disgust based on disgusted vocal characteristics,disgust,71.0,40.7,5.8
Speech emotion detection: devastated voice pattern with moderate arousal,grief,60.9,46.9,1.79
Emotional tone: dejected. Intensity level: moderate. Classification: sadness,sadness,55.9,48.0,1.81
"The vocal expression conveys surprise, the tone is astonished",surprise,86.8,49.1,3.79
Voice fear indicator — the speaker sounds fearful with moderate expression,fear,86.6,44.3,8.94
Voice analysis indicates anxiety with evident intensity,anxiety,85.8,27.2,8.57
"Audio emotional state: anger, detected from speech prosody",anger,92.5,30.8,6.92
The speaker sounds irritated,anger,90.4,32.7,7.49
Speech emotion detection: sorrowful voice pattern with faint arousal,sadness,59.0,58.7,1.36
The person is speaking in a delighted tone suggesting joy,joy,72.2,73.8,3.03
Voice analysis indicates grief with noticeable intensity,grief,68.1,46.6,1.66
The speaker's voice carries moderate signs of being matter-of-fact,neutral,71.6,63.0,1.72
Emotional tone: frustrated. Intensity level: typical. Classification: frustration,frustration,86.1,26.6,6.41
"Audio emotional state: fear, detected from speech prosody",fear,104.0,44.9,8.96
